wavelength_nm,frequency_normalized,reflection,transmission,residual
455.0,1.3912087912087912,0.02644646354682067,0.9735535336404425,2.812736821233841e-09
456.0,1.388157894736842,0.024433461585105933,0.9755665356041824,2.8107116634146223e-09
457.0,1.3851203501094091,0.022615118833100994,0.9773848783551581,2.8117409511807523e-09
458.0,1.3820960698689955,0.020849658295544596,0.9791503388896958,2.8147595365624056e-09
459.0,1.3790849673202614,0.019082301514057466,0.9809176956666096,2.8193329892900465e-09
460.0,1.376086956521739,0.01728862072689455,0.9827113764478869,2.825218614610492e-09
461.0,1.3731019522776573,0.015462731412021473,0.9845372657557462,2.832232337546259e-09
462.0,1.37012987012987,0.013613855357086169,0.9863861418027094,2.840204404996882e-09
463.0,1.367170626349892,0.011765097247952643,0.9882348999030933,2.848954072653953e-09
464.0,1.3642241379310345,0.009952647590777597,0.9900473495509505,2.8582718414327246e-09
465.0,1.361290322580645,0.00822466342303476,0.9917753337090462,2.8679190133829024e-09
466.0,1.3583690987124464,0.006639422422579104,0.9933605746998005,2.877620364216682e-09
467.0,1.3554603854389722,0.0052625223797399985,0.9947374747331894,2.8870705826022913e-09
468.0,1.3525641025641026,0.004163048901919228,0.9958369482021494,2.895931383584127e-09
469.0,1.349680170575693,0.0034088015386141094,0.9965911955575264,2.9038594862029754e-09
470.0,1.3468085106382977,0.0030608541620005,0.9969391429274944,2.9105050591837767e-09
471.0,1.3439490445859872,0.0031679072413740763,0.9968320898430896,2.915536367886773e-09
472.0,1.341101694915254,0.00376102995548205,0.9962389671258624,2.9186556504967598e-09
473.0,1.3382663847780127,0.004849446948469062,0.9951505501319095,2.9196214335058812e-09
474.0,1.3354430379746836,0.006417966542458308,0.9935820305392187,2.918323027678582e-09
475.0,1.3326315789473684,0.008426468020125179,0.991573529065257,2.9146178803785006e-09
476.0,1.3298319327731092,0.010811591779562953,0.9891884053118758,2.908561280712263e-09
477.0,1.3270440251572326,0.013490463471748565,0.986509533627996,2.9002554802204372e-09
478.0,1.3242677824267781,0.016366000824300397,0.9836339962858663,2.8898332615767686e-09
479.0,1.3215031315240084,0.019333160550629374,0.9806668365718113,2.8775593019503276e-09
480.0,1.3187499999999999,0.022285416342057822,0.9777145807942307,2.863711490164178e-09
481.0,1.316008316008316,0.025120816343192003,0.974879180808258,2.848550062495292e-09
482.0,1.3132780082987552,0.027747118764618633,0.9722528784029639,2.832417411724464e-09
483.0,1.31055900621118,0.03008570066647303,0.9699142965179242,2.815602861971911e-09
484.0,1.3078512396694213,0.03207413103657436,0.9679258661650506,2.79837497618729e-09
485.0,1.3051546391752578,0.03366746087266674,0.966332536346365,2.7809683444957045e-09
486.0,1.3024691358024691,0.034838392926842224,0.9651616043095481,2.763609674438783e-09
487.0,1.299794661190965,0.0355765505931471,0.964423446660395,2.7464578389313488e-09
488.0,1.2971311475409835,0.035887078210357186,0.9641129190599869,2.7296559457212766e-09
489.0,1.294478527607362,0.03578878766172026,0.9642112096249925,2.713287261535413e-09
490.0,1.2918367346938775,0.03531203252674521,0.9646879647758118,2.6974430467063826e-09
491.0,1.2892057026476578,0.03449645244785605,0.9655035448699829,2.6821610488170222e-09
